TeamNumber,GameNumber,GStatNumber,GameDate,GameType,Location,Innings,HomeTeam,Opponent,OpponentTeamNumber,OpponentGStatNumber,DP,Runs,RunsInning1,RunsInning2,RunsInning3,RunsInning4,RunsInning5,RunsInning6,RunsInning7,RunsInning8,RunsInning9,RunsInningX,OppRuns,OppRunsInning1,OppRunsInning2,OppRunsInning3,OppRunsInning4,OppRunsInning5,OppRunsInning6,OppRunsInning7,OppRunsInning8,OppRunsInning9,OppRunsInningX,Notes
41,9,112,"02/11/11 00:00:00",1,"Buffalo Glen",7,0,"Wings W11",44,0,0,24,2,3,3,5,2,5,4,0,0,0,14,5,2,2,5,0,0,0,0,0,0,
41,10,133,"02/18/11 00:00:00",1,"Buffalo Glen",7,1,"Canucks W11",40,0,0,16,0,5,2,3,1,5,0,0,0,0,13,4,0,2,0,0,0,7,0,0,0,
41,11,139,"02/23/11 00:00:00",1,"Buffalo Glen",7,1,"Avalanche W11",37,0,0,13,1,0,5,0,2,0,5,0,0,0,15,5,0,3,1,2,4,0,0,0,0,
41,12,151,"02/25/11 00:00:00",1,"Buffalo Glen",7,1,"Vipers W11",43,0,0,14,4,0,5,5,0,0,0,0,0,0,10,2,0,2,0,2,2,2,0,0,0,
41,13,154,"03/02/11 00:00:00",1,"Buffalo Glen",7,0,"Panthers W11",42,0,0,6,1,0,4,0,0,1,0,0,0,0,13,3,1,3,3,0,3,0,0,0,0,
41,14,165,"03/04/11 00:00:00",1,"Buffalo Glen",7,1,"Mighty Ducks W11",36,0,0,12,0,0,0,5,5,0,2,0,0,0,17,5,1,2,0,0,2,7,0,0,0,
41,15,173,"03/09/11 00:00:00",1,"Buffalo Glen",5,1,"Hurricanes W11",38,0,0,18,5,6,3,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,
41,16,180,"03/11/11 00:00:00",1,"Buffalo Glen",7,0,"Bruins W11",39,0,0,20,2,0,3,5,5,5,0,0,0,0,21,5,5,1,3,1,1,5,0,0,0,
41,17,185,"03/16/11 00:00:00",1,"Buffalo Glen",0,1,"Wings W11",44,0,0,18,5,5,0,3,0,5,0,0,0,0,16,3,3,2,5,3,0,0,0,0,0,
41,18,202,"03/23/11 00:00:00",1,"Buffalo Glen",8,0,"Canucks W11",40,0,0,25,5,5,1,2,3,3,5,1,0,0,26,5,0,0,0,0,0,19,2,0,0,
41,19,208,"03/25/11 00:00:00",1,"Buffalo Glen",7,0,"Avalanche W11",37,0,0,13,2,2,5,0,1,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
